compound_iso_smiles,affinity
Cc1ccc(-c2nc(N)sc2C)cc1,4.650000221
O=C(CSc1nc(Cc2ccccc2)nc2ccccc12)Nc1nc2c(s1)CCCC2,5.650004101
Cc1ccc(Cl)cc1N=C(S)NCCCSC1CCCCC1,4.700000504
O=C(CSc1ncc(C(F)(F)F)cc1Cl)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,5.54999737
CCCSc1cc(NCCOC(=O)CCC)c([N+](=O)[O-])c2nonc12,4.450000476
COC(=O)C1=C(C)N(CC2CC2)C(NCc2cccc(Cl)c2)=N[C@H]1c1ccccc1,5.199998172
CCCCCn1c(=N)c(S(=O)(=O)c2ccc(C)cc2)cc2c(=O)n3cc(C)ccc3nc21,4.450000476
Cc1ccccc1-c1ccc2c(c1)O[C@@H](CN(C)Cc1ccc(C(=O)O)cc1)[C@@H](C)CN([C@H](C)CO)S2(=O)=O,5.250001023
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,5.950007143
CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1ccc(O)c(O)c1,4.536212986
O=C(Nc1nc(-c2ccccn2)cs1)c1ccc(-c2ccccc2F)o1,4.450000476
O=C(O)CCc1ccc(-c2cccs2)n1-c1ccc(C(=O)O)cc1,4.849999245
COOCC1(C(=O)OC)C[C@H](c2ccc(OC)cc2)N(Cc2ccccc2OC)[C@@H]1c1ccccc1C,5.499996932
Cc1cc(S(=O)(=O)N2CCOCC2)ccc1OCC(=O)N1CCC(C(N)=O)CC1,4.499999679
COc1ccc(C=CC(=O)c2ccc(OC)c(OC)c2)cc1O,4.899998417
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,5.149997414
O=C(/C=C/c1cc(Br)ccc1O)c1ccco1,4.450000476
COCc1nc2ccccc2n1Cc1ccccc1,4.499999679
COc1ccc(C(=O)NC(=S)NNC(=O)c2cnccn2)cc1,5.499996932
O=S(=O)(NC1CC(NS(=O)(=O)OCC(Cl)(Cl)Cl)C2CCCCC12)OCC(Cl)(Cl)Cl,4.450000476
COc1ccc(S(=O)(=O)Nc2cccc3cccnc23)cc1,4.550000452
CCCCN(C)C(=O)c1ccc(Nc2nc(C(N)Cc3ccc(C(F)(F)F)cc3)cs2)nc1,4.450000476
CC(C)N(C(=O)[C@H]1CC(CC(=O)NCc2cccc(C(F)(F)F)c2)C(=O)N2CCc3c([nH]c4ccccc34)[C@]12C)C(C)C,4.550000452
CCOC(=O)c1sc(NC(=O)c2cc(-c3ccccc3C)nc3ccccc23)c(C#N)c1C,4.849999245
CC(=O)Nc1ccccc1NC(=O)COc1cccc2ccccc12,4.499999679
COc1ccccc1CNC(=O)C1CC2Cn3c(nc4cc(C)c(C)cc43)C2N1C,6.250031916
Cc1ccc2[nH]cc(CCCN3C(=O)c4ccccc4C3=O)c2c1,4.650000221
O=S(=O)(N/N=C\c1ccc(-c2ccccc2Cl)o1)c1ccccc1,4.899998417
O=c1c2ccccc2sn1-c1cccc(Cl)c1,4.450000476
CC[C@@]12C(=O)N(c3cccc(F)c3)C(=O)N1[C@H](c1ccc(F)cc1)[C@@H]1C(=O)N(C3CCCCC3)C(=O)[C@@H]12,4.499999679
O=C(CSc1nccn1Cc1ccc(F)cc1)Nc1nc2ccccc2s1,4.700000504
CCOC(=O)C1CCCN(C(S)=Nc2ccc(Nc3ccccc3)cc2)C1,4.499999679
Cc1cccc(COCC(Cc2ccccc2)N2CCN(C(=O)c3cccc(Cl)c3)CCC2=O)c1,4.949999402
COc1ccc(C2CC(c3ccc(C(F)(F)F)cc3)=NN2c2ccc(S(N)(=O)=O)cc2)cc1,4.650000221
Cc1ccc(NS(=O)(=O)c2ccc(NC(=O)C(C)Sc3ccc(Cl)cc3)cc2)c(C)c1,4.450000476
O=C(Nc1nc(-c2ccccn2)cs1)c1cc(Cl)ccc1[N+](=O)[O-],5.450004148
O=C(CSc1cccc[n+]1[O-])c1ccc(-c2ccccc2)cc1,4.450000476
Fc1ccc2nncc(SCc3ccccc3Cl)c2c1,5.149997414
Cc1sc2nc(-c3ccccn3)nc(O)c2c1-c1ccccc1,4.499999679
O=C(c1ccccc1Br)N1CCC(c2nc3ccccc3s2)CC1,4.450000476
COc1cc(C#Cc2c(-c3cncn3C)n(C)c3ccc(-c4ccc(OC)nc4)cc23)cc(OC)c1,4.450000476
CCN1C(=O)[C@H]2[C@@H](c3ccc(OC)cc3)N[C@]3(CCCN(CCC(C)C)C3=O)[C@H]2C1=O.O=C(O)C(F)(F)F,6.250031916
CCOc1ccc(CN2C(=O)c3ccccc3C2C(=O)NCC2CCCO2)cc1,4.650000221
O=C(Nc1ccc(Br)cc1)c1ccc(F)c(S(=O)(=O)NC2CCCCCC2)c1,4.700000504
O=C(COC(=O)c1ccc(CN2CCCC2=O)cc1)Nc1ccc(F)cc1,4.450000476
CCOC(=O)c1sc(=S)n(C)c1NC(=O)c1cccc(Br)c1,4.450000476
Brc1c(CSc2nncc3ccccc23)nc2ccccn12,4.949999402
NCCCn1c(C(=O)c2cc(Cl)c(N)c(Cl)c2)c2ccc([N+](=O)[O-])cc2[n+]1[O-].O=C(O)C(F)(F)F,6.299988938
COc1ccc(NC(=O)CN(C)C(=O)COc2ccccc2Cc2ccccc2)cc1,4.800000875
CCN(C(=O)C1CCN(c2nc(-c3ccc(OC)cc3)no2)CC1)c1ccc(OC)cc1,4.499999679
COc1ccc(C(C)(C)C)cc1NC(=O)c1c(C)noc1C,4.450000476
Cc1ccc(NC(=O)CCC(=O)N/N=C/c2coc3ccc(F)cc3c2=O)cc1,5.299997603
CC(C)N=C(NCc1ccc(Cl)cc1Cl)Nc1ccccc1,5.250001023
Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc(F)cc1,4.949999402
CCOc1ccccc1N1CCN(C(=O)c2ccc3[nH]c(C)c(C)c3c2)CC1,4.800000875
O=C(NCC(c1cccs1)N1CCOCC1)c1cc(F)cc(F)c1,4.450000476
CC1(C(=O)OCC(=O)Nc2nnc(-c3ccccc3)o2)CC1(Cl)Cl,4.650000221
CN(/N=C/c1cc(Br)cc(Br)c1O)c1cccc(C(F)(F)F)n1,5.050000457
CCCc1nc(SCC(=O)c2ccccc2)c2c(=O)n(C)c(=O)n(C)c2n1,4.700000504
C=CC[C@@H](CC(=O)N[C@H](CO)Cc1ccccc1)C(=O)N[C@@H](COC(=O)[C@@H](CC=C)Cc1ccc(F)cc1)Cc1ccccc1,5.250001023
CC(C)(C)c1ccc(C(=O)NC(=S)NNC(=O)COc2ccccc2)cc1,5.250001023
O=C(COc1ccc(Cl)cc1Cl)NC(=S)N1CCCc2ccccc21,4.450000476
CN(C)/C=C/C(=O)c1ccc(Oc2ccccc2)cc1,4.949999402
C=C(C)COc1ccc(-c2[nH]nc(C)c2-c2ccc(Br)cc2)c(O)c1,4.450000476
CC1CC1C(=O)Nc1ccc(-c2ccccc2)cc1,5.250001023
CC(=O)NNC(=S)NC(=O)c1ccccc1,4.450000476
CCc1ccc(OCC(=O)NNC(=O)c2cnccn2)c(Br)c1,4.599999383
N#Cc1c(-c2ccc(Cl)cc2)cc(-c2ccccc2)nc1SCC(=O)O,4.650000221
COc1cccc(N/C=C/C(=O)c2ccc(Cl)cc2)c1,4.450000476
COc1ccccc1N1CCN(C(c2ccccc2)c2nnnn2Cc2ccccc2)CC1,4.450000476
O=C(O)CC/C(=C\c1ccc2c(c1)OCO2)c1nc2ccccc2s1,5.050000457
COc1ccc(N=C2C=CC(=O)O2)cc1,4.800000875
COc1ccc(C2=CC3=C(Br)C(=O)C(C)(O)C(=O)C3=CO2)cc1,4.849999245
CCCn1c(O)nnc1SCC(=O)NC(=O)NCc1ccccc1,4.450000476
NC(=O)c1ccsc1NC(=O)C1CCCCC1,4.949999402
Cc1cc(=O)n2c3c(c4c(cc13)c(CN(C)C)cc(=O)n4C)OC2,5.250001023
O=C(Nc1ccc(Cl)c([N+](=O)[O-])c1)C(Sc1ccccc1)c1ccccc1,4.450000476
CN(C)c1ccc(/C=C/c2ccccc2NC(=O)c2ccccn2)cc1,7
Cc1c(C)n(Cc2ccccc2)c2ncnc(Cl)c12,4.749999856
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1ccccc1O,6.450016389
CC(=O)N(CN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O)c1cccc(C(=O)O)c1,4.650000221
Cc1cc(N)n2ncc(-c3cccc(Br)c3)c2n1,4.700000504
Cc1ccc(NC(=O)CSCC(=O)N(C)Cc2c(F)cccc2Cl)cc1,5.250001023
NNC(=O)/C(=N/Nc1ccccc1)S(=O)(=O)c1ccc(Cl)cc1,4.499999679
Cn1cccc1CC(=O)NNC(=S)NC(=O)c1ccc(F)cc1,4.499999679
NC(=NOC(=O)c1ccc2ccccc2c1)c1cccc([N+](=O)[O-])c1,5.199998172
O=C1CC(c2cc(F)ccc2F)c2cc3c(cc2N1)CCC3,5.599997654
Cc1[nH]c2ccccc2c1SCCNC(=O)c1ccc(Br)o1,4.450000476
CC(C)n1cnc2c(NCc3ccccc3)cc(OCC3CCN(C)CC3)cc21,4.550000452
CC(C)(C)CC(C)(C)NC(=O)CSCC(=O)Nc1ccc2ccccc2c1,4.599999383
Cc1ccc(N2CCN(S(=O)(=O)c3cccs3)CC2C)cc1,4.749999856
c1ccc(COc2cccc(-c3cc4nc(NCCCn5ccnc5)ccn4n3)c2)cc1,4.749999856
CCN(c1ccccc1)S(=O)(=O)c1ccc(C(=O)Nc2nnc(C3CC3)o2)cc1,4.450000476
O=C(CSc1ccccc1Cl)N1CCC(c2nc3ccccc3s2)CC1,4.749999856
CC(C)(O)C1Cc2cc(/C=C/C(=O)O)c(O)cc2O1,4.450000476
COC(=O)C1CCN(C(=O)c2cc(-c3ccc(Cl)s3)nc3ccccc23)CC1,4.599999383
Brc1ccc(-c2nc3c4ccccc4ccn3c2Cc2ccccc2)cc1,4.450000476
Clc1ccc(NN(Cc2ccncc2)c2ccc(Cl)cc2)cc1,5.450004148
Cc1cc(C)c2cc(C#N)c(NCCNC(=O)c3ccncc3)nc2c1,5.250001023
CCc1cc2c(=O)oc(-c3ccc(F)cc3)nc2s1,5.399996913
Cc1ccc(O)c(N=Nc2nccs2)c1,5.399996913
COc1nc(-c2ccccc2)nc(-c2ccccc2)c1C,5.450004148
CC1CC(C)(C)N2C(=O)C3(Nc4ccccc4S3)c3cccc1c32,4.650000221
